gene	orientation	type	log2	coords
EEF1A1	minus	positive ctl	-0.874477790838219	chr6:73520747-73520946
EEF1A1	minus	negative ctl	-1.50093936950342	chr6:73520747-73520946_shuff
EEF1A1	minus	positive ctl	-1.09021900378186	chr6:73520797-73520996
EEF1A1	minus	negative ctl	-0.842316096573271	chr6:73520797-73520996_shuff
EEF1A1	minus	positive ctl	-0.930851444387369	chr6:73520847-73521046
EEF1A1	minus	negative ctl	0.684030754992619	chr6:73520847-73521046_shuff
EEF1A1	minus	positive ctl	1.2612431300918	chr6:73520897-73521096
EEF1A1	minus	negative ctl	-0.474918284159332	chr6:73520897-73521096_shuff
EEF1A1	minus	positive ctl	3.37743463578175	chr6:73520947-73521146
EEF1A1	minus	negative ctl	-0.573362196866205	chr6:73520947-73521146_shuff
EEF1A1	minus	positive ctl	3.47229494593844	chr6:73520997-73521196
EEF1A1	minus	negative ctl	0.955492102829561	chr6:73520997-73521196_shuff
EEF1A1	minus	positive ctl	2.28993260084245	chr6:73521047-73521246
EEF1A1	minus	negative ctl	0.0710157876971329	chr6:73521047-73521246_shuff
EEF1A1	minus	positive ctl	1.43270858458145	chr6:73521097-73521296
EEF1A1	minus	negative ctl	-0.941944774413047	chr6:73521097-73521296_shuff
EEF1A1	minus	positive ctl	1.02616324536093	chr6:73521147-73521346
EEF1A1	minus	negative ctl	-0.338265502667217	chr6:73521147-73521346_shuff
EEF1A1	minus	positive ctl	0.786473300478323	chr6:73521197-73521396
EEF1A1	minus	negative ctl	0.0131749873980755	chr6:73521197-73521396_shuff
EEF1A1	minus	positive ctl	1.5766614413938	chr6:73521247-73521446
EEF1A1	minus	negative ctl	0.147768816938884	chr6:73521247-73521446_shuff
EEF1A1	minus	positive ctl	0.204653194268925	chr6:73521297-73521496
EEF1A1	minus	negative ctl	-0.265725800834649	chr6:73521297-73521496_shuff
EEF1A1	minus	positive ctl	-0.0494569968654797	chr6:73521347-73521546
EEF1A1	minus	negative ctl	-0.075463592004851	chr6:73521347-73521546_shuff
EEF1A1	minus	positive ctl	0.672363325702181	chr6:73521397-73521596
EEF1A1	minus	negative ctl	1.07657822463145	chr6:73521397-73521596_shuff
EEF1A1	minus	positive ctl	1.09195560041354	chr6:73521447-73521646
EEF1A1	minus	negative ctl	0.481016162565532	chr6:73521447-73521646_shuff
EEF1A1	minus	positive ctl	0.481947617394638	chr6:73521497-73521696
EEF1A1	minus	negative ctl	-0.358938567412417	chr6:73521497-73521696_shuff
EEF1A1	minus	positive ctl	0.0696979165524199	chr6:73521547-73521746
EEF1A1	minus	negative ctl	-1.1138482268366	chr6:73521547-73521746_shuff
EEF1A1	minus	positive ctl	0.437093889838146	chr6:73521597-73521796
EEF1A1	minus	negative ctl	-0.331272098318892	chr6:73521597-73521796_shuff
EEF1A1	minus	positive ctl	-0.0975784403550182	chr6:73521647-73521846
EEF1A1	minus	negative ctl	0.0508117394482771	chr6:73521647-73521846_shuff
EEF1A1	minus	positive ctl	-0.22763141830762	chr6:73521697-73521896
EEF1A1	minus	negative ctl	-0.505693144190911	chr6:73521697-73521896_shuff
EEF1A1	minus	positive ctl	0.0155050761837621	chr6:73521747-73521946
