,pair,region,percent,end_nums,start_nums
0,EIF1AX_EIF1AY,promoter,28.000000000000004,51,1
1,EIF1AX_EIF1AY,promoter,28.000000000000004,52,2
2,EIF1AX_EIF1AY,promoter,26.0,53,3
3,EIF1AX_EIF1AY,promoter,28.000000000000004,54,4
4,EIF1AX_EIF1AY,promoter,26.0,55,5
5,EIF1AX_EIF1AY,promoter,28.000000000000004,56,6
6,EIF1AX_EIF1AY,promoter,28.000000000000004,57,7
7,EIF1AX_EIF1AY,promoter,30.0,58,8
8,EIF1AX_EIF1AY,promoter,30.0,59,9
9,EIF1AX_EIF1AY,promoter,30.0,60,10
10,EIF1AX_EIF1AY,promoter,30.0,61,11
11,EIF1AX_EIF1AY,promoter,32.0,62,12
12,EIF1AX_EIF1AY,promoter,32.0,63,13
13,EIF1AX_EIF1AY,promoter,32.0,64,14
14,EIF1AX_EIF1AY,promoter,34.0,65,15
15,EIF1AX_EIF1AY,promoter,34.0,66,16
16,EIF1AX_EIF1AY,promoter,36.0,67,17
17,EIF1AX_EIF1AY,promoter,38.0,68,18
18,EIF1AX_EIF1AY,promoter,40.0,69,19
19,EIF1AX_EIF1AY,promoter,40.0,70,20
20,EIF1AX_EIF1AY,promoter,42.0,71,21
21,EIF1AX_EIF1AY,promoter,44.0,72,22
22,EIF1AX_EIF1AY,promoter,44.0,73,23
23,EIF1AX_EIF1AY,promoter,44.0,74,24
24,EIF1AX_EIF1AY,promoter,43.13725490196079,75,25
25,EIF1AX_EIF1AY,promoter,43.13725490196079,76,26
26,EIF1AX_EIF1AY,promoter,45.09803921568628,77,27
27,EIF1AX_EIF1AY,promoter,47.05882352941176,78,28
28,EIF1AX_EIF1AY,promoter,49.01960784313725,79,29
29,EIF1AX_EIF1AY,promoter,50.98039215686274,80,30
30,EIF1AX_EIF1AY,promoter,50.98039215686274,81,31
31,EIF1AX_EIF1AY,promoter,50.98039215686274,82,32
32,EIF1AX_EIF1AY,promoter,52.94117647058824,83,33
33,EIF1AX_EIF1AY,promoter,54.90196078431373,84,34
34,EIF1AX_EIF1AY,promoter,56.86274509803921,85,35
35,EIF1AX_EIF1AY,promoter,56.86274509803921,86,36
36,EIF1AX_EIF1AY,promoter,57.692307692307686,87,37
37,EIF1AX_EIF1AY,promoter,59.61538461538461,88,38
38,EIF1AX_EIF1AY,promoter,61.53846153846154,89,39
39,EIF1AX_EIF1AY,promoter,63.46153846153846,90,40
40,EIF1AX_EIF1AY,promoter,65.38461538461539,91,41
41,EIF1AX_EIF1AY,promoter,67.3076923076923,92,42
42,EIF1AX_EIF1AY,promoter,67.3076923076923,93,43
43,EIF1AX_EIF1AY,promoter,69.23076923076923,94,44
44,EIF1AX_EIF1AY,promoter,69.23076923076923,95,45
45,EIF1AX_EIF1AY,promoter,66.0377358490566,96,46
46,EIF1AX_EIF1AY,promoter,66.0377358490566,97,47
47,EIF1AX_EIF1AY,promoter,64.15094339622641,98,48
48,EIF1AX_EIF1AY,promoter,64.81481481481481,99,49
49,EIF1AX_EIF1AY,promoter,66.66666666666666,100,50
50,EIF1AX_EIF1AY,promoter,68.51851851851852,101,51
51,EIF1AX_EIF1AY,promoter,70.37037037037037,102,52
52,EIF1AX_EIF1AY,promoter,70.9090909090909,103,53
53,EIF1AX_EIF1AY,promoter,70.9090909090909,104,54
54,EIF1AX_EIF1AY,promoter,72.72727272727273,105,55
55,EIF1AX_EIF1AY,promoter,70.9090909090909,106,56
56,EIF1AX_EIF1AY,promoter,72.72727272727273,107,57
57,EIF1AX_EIF1AY,promoter,72.72727272727273,108,58
58,EIF1AX_EIF1AY,promoter,74.54545454545455,109,59
59,EIF1AX_EIF1AY,promoter,71.42857142857143,110,60
60,EIF1AX_EIF1AY,promoter,73.21428571428571,111,61
61,EIF1AX_EIF1AY,promoter,73.21428571428571,112,62
62,EIF1AX_EIF1AY,promoter,75.0,113,63
63,EIF1AX_EIF1AY,promoter,73.21428571428571,114,64
64,EIF1AX_EIF1AY,promoter,70.6896551724138,115,65
65,EIF1AX_EIF1AY,promoter,70.6896551724138,116,66
66,EIF1AX_EIF1AY,promoter,70.6896551724138,117,67
67,EIF1AX_EIF1AY,promoter,70.6896551724138,118,68
68,EIF1AX_EIF1AY,promoter,70.6896551724138,119,69
69,EIF1AX_EIF1AY,promoter,70.6896551724138,120,70
70,EIF1AX_EIF1AY,promoter,70.6896551724138,121,71
71,EIF1AX_EIF1AY,promoter,70.6896551724138,122,72
72,EIF1AX_EIF1AY,promoter,68.96551724137932,123,73
73,EIF1AX_EIF1AY,promoter,70.6896551724138,124,74
74,EIF1AX_EIF1AY,promoter,71.9298245614035,125,75
75,EIF1AX_EIF1AY,promoter,71.9298245614035,126,76
76,EIF1AX_EIF1AY,promoter,71.9298245614035,127,77
77,EIF1AX_EIF1AY,promoter,70.17543859649122,128,78
78,EIF1AX_EIF1AY,promoter,70.17543859649122,129,79
79,EIF1AX_EIF1AY,promoter,70.17543859649122,130,80
80,EIF1AX_EIF1AY,promoter,70.17543859649122,131,81
81,EIF1AX_EIF1AY,promoter,70.17543859649122,132,82
82,EIF1AX_EIF1AY,promoter,70.17543859649122,133,83
83,EIF1AX_EIF1AY,promoter,68.42105263157895,134,84
84,EIF1AX_EIF1AY,promoter,68.42105263157895,135,85
85,EIF1AX_EIF1AY,promoter,70.17543859649122,136,86
86,EIF1AX_EIF1AY,promoter,70.17543859649122,137,87
87,EIF1AX_EIF1AY,promoter,68.96551724137932,138,88
88,EIF1AX_EIF1AY,promoter,68.96551724137932,139,89
89,EIF1AX_EIF1AY,promoter,66.10169491525424,140,90
90,EIF1AX_EIF1AY,promoter,66.10169491525424,141,91
91,EIF1AX_EIF1AY,promoter,64.40677966101694,142,92
92,EIF1AX_EIF1AY,promoter,66.10169491525424,143,93
93,EIF1AX_EIF1AY,promoter,64.40677966101694,144,94
94,EIF1AX_EIF1AY,promoter,66.10169491525424,145,95
95,EIF1AX_EIF1AY,promoter,67.24137931034483,146,96
96,EIF1AX_EIF1AY,promoter,67.24137931034483,147,97
97,EIF1AX_EIF1AY,promoter,67.24137931034483,148,98
98,EIF1AX_EIF1AY,promoter,66.66666666666666,149,99
99,EIF1AX_EIF1AY,promoter,64.91228070175438,150,100
100,EIF1AX_EIF1AY,promoter,63.1578947368421,151,101
101,EIF1AX_EIF1AY,promoter,60.3448275862069,152,102
102,EIF1AX_EIF1AY,promoter,61.40350877192983,153,103
103,EIF1AX_EIF1AY,promoter,58.620689655172406,154,104
104,EIF1AX_EIF1AY,promoter,57.6271186440678,155,105
105,EIF1AX_EIF1AY,promoter,59.32203389830508,156,106
106,EIF1AX_EIF1AY,promoter,59.32203389830508,157,107
107,EIF1AX_EIF1AY,promoter,59.32203389830508,158,108
108,EIF1AX_EIF1AY,promoter,59.32203389830508,159,109
109,EIF1AX_EIF1AY,promoter,60.3448275862069,160,110
110,EIF1AX_EIF1AY,promoter,58.620689655172406,161,111
111,EIF1AX_EIF1AY,promoter,58.620689655172406,162,112
112,EIF1AX_EIF1AY,promoter,55.00000000000001,163,113
113,EIF1AX_EIF1AY,promoter,56.666666666666664,164,114
114,EIF1AX_EIF1AY,promoter,57.6271186440678,165,115
115,EIF1AX_EIF1AY,promoter,57.6271186440678,166,116
116,EIF1AX_EIF1AY,promoter,57.6271186440678,167,117
117,EIF1AX_EIF1AY,promoter,55.932203389830505,168,118
118,EIF1AX_EIF1AY,promoter,55.932203389830505,169,119
119,EIF1AX_EIF1AY,promoter,55.932203389830505,170,120
120,EIF1AX_EIF1AY,promoter,52.459016393442624,171,121
121,EIF1AX_EIF1AY,promoter,52.459016393442624,172,122
122,EIF1AX_EIF1AY,promoter,54.09836065573771,173,123
123,EIF1AX_EIF1AY,promoter,54.09836065573771,174,124
124,EIF1AX_EIF1AY,promoter,51.5625,175,125
125,EIF1AX_EIF1AY,promoter,51.5625,176,126
126,EIF1AX_EIF1AY,promoter,47.82608695652174,177,127
127,EIF1AX_EIF1AY,promoter,49.275362318840585,178,128
128,EIF1AX_EIF1AY,promoter,49.275362318840585,179,129
129,EIF1AX_EIF1AY,promoter,47.82608695652174,180,130
130,EIF1AX_EIF1AY,promoter,46.478873239436616,181,131
131,EIF1AX_EIF1AY,promoter,46.478873239436616,182,132
132,EIF1AX_EIF1AY,promoter,46.478873239436616,183,133
133,EIF1AX_EIF1AY,promoter,47.88732394366197,184,134
134,EIF1AX_EIF1AY,promoter,47.88732394366197,185,135
135,EIF1AX_EIF1AY,promoter,46.478873239436616,186,136
136,EIF1AX_EIF1AY,promoter,45.714285714285715,187,137
137,EIF1AX_EIF1AY,promoter,45.714285714285715,188,138
138,EIF1AX_EIF1AY,promoter,45.714285714285715,189,139
139,EIF1AX_EIF1AY,promoter,46.3768115942029,190,140
140,EIF1AX_EIF1AY,promoter,44.44444444444444,191,141
141,EIF1AX_EIF1AY,promoter,45.83333333333333,192,142
142,EIF1AX_EIF1AY,promoter,45.83333333333333,193,143
143,EIF1AX_EIF1AY,promoter,44.0,194,144
144,EIF1AX_EIF1AY,promoter,44.0,195,145
145,EIF1AX_EIF1AY,promoter,44.73684210526316,196,146
146,EIF1AX_EIF1AY,promoter,44.15584415584416,197,147
