coords	chromosome	coords1	mpra_start	mpra_end	log2	sd	lower_val	upper_val	orientation	type	start	distance	gene
chr7:5530695-5530745	chr7	5530695-5530745	5530695	5530695	3.78455029986102	0	3.78455029986102	3.78455029986102	minus	positive ctl	5530709	14	ACTB
cmv:51-101	cmv	51-101	51	51	6.54938197071277	0.637970827299609	5.91141114341316	7.18735279801238	plus	positive ctl	1	50	CMV
chrX:41334074-41334124	chrX	41334074-41334124	41334074	41334074	1.52754291255715	0.14113508070059	1.38640783185656	1.66867799325774	plus	test	41334161	-87	DDX3X
chrY:12904815-12904865	chrY	12904815-12904865	12904815	12904815	1.10921832818011	1.31378874343504	-0.204570415254936	2.42300707161515	plus	test	12904881	-66	DDX3Y
chr6:73521097-73521147	chr6	73521097-73521147	73521097	73521097	2.55267004537882	0.936099285960903	1.61657075941792	3.48876933133973	minus	positive ctl	73521032	-65	EEF1A1
chrX:20141911-20141961	chrX	20141911-20141961	20141911	20141911	1.88403180340399	0.0776826631339055	1.80634914027009	1.9617144665379	minus	test	20141834	-77	EIF1AX
chrY:20575688-20575738	chrY	20575688-20575738	20575688	20575688	1.57942408155018	0.52375516273373	1.05566891881645	2.10317924428391	plus	test	20575775	-87	EIF1AY
chrX:53225210-53225260	chrX	53225210-53225260	53225210	53225210	1.10646547016502	0.274873164260198	0.831592305904819	1.38133863442522	minus	test	53225206	-4	KDM5C
chrY:19744533-19744583	chrY	19744533-19744583	19744533	19744533	0.144824262285823	0.559888756785122	-0.415064494499299	0.704713019070945	minus	test	19744725	192	KDM5D
chrX:44873115-44873165	chrX	44873115-44873165	44873115	44873115	1.21118328018894	0.808459639975721	0.402723640213217	2.01964292016466	plus	test	44873187	-72	KDM6A
chrX:72277277-72277327	chrX	72277277-72277327	72277277	72277277	1.82244269090638	0.0299139601420364	1.79252873076434	1.85235665104841	minus	test	72277247	-30	RPS4X
chrY:2841521-2841571	chrY	2841521-2841571	2841521	2841521	1.61607627372751	0.38645349499513	1.22962277873238	2.00252976872264	plus	test	2841601	-80	RPS4Y1
chrX:41085701-41085751	chrX	41085701-41085751	41085701	41085701	0.911018125813996	0.554936798477659	0.356081327336337	1.46595492429165	plus	test	41085444	257	USP9X
chrY:12662281-12662331	chrY	12662281-12662331	12662281	12662281	1.24159223819625	0.663503572239006	0.578088665957244	1.90509581043526	plus	test	12662352	-71	USP9Y
chrY:13480062-13480112	chrY	13480062-13480112	13480062	13480062	1.21814576686225	0.53832029681344	0.679825470048806	1.75646606367569	minus	test	13479986	-76	UTY
chrX:24149700-24149750	chrX	24149700-24149750	24149700	24149700	1.2578163901748	0.0137841082455678	1.24403228192923	1.27160049842037	plus	test	24149728	-28	ZFX
chrY:2935321-2935371	chrY	2935321-2935371	2935321	2935321	0.741747524164806	0.343909886088968	0.397837638075838	1.08565741025377	plus	test	2935380	-59	ZFY
