pair	type_of_gene	name	gene_expression
DDX3X_DDX3Y	X_gene	expr_from_Xi	26.0769120334862
DDX3X_DDX3Y	X_gene	expr_from_Xa	69.5384320892964
DDX3X_DDX3Y	X_gene	expr_from_Xi	37.0023854638454
DDX3X_DDX3Y	X_gene	expr_from_Xa	57.7902424465259
DDX3X_DDX3Y	X_gene	expr_from_Xi	47.5351011951466
DDX3X_DDX3Y	X_gene	expr_from_Xa	80.0192250347496
DDX3X_DDX3Y	X_gene	expr_from_Xi	34.6667604475113
DDX3X_DDX3Y	X_gene	expr_from_Xa	66.1190931777257
DDX3X_DDX3Y	X_gene	expr_from_Xi	27.0935790356493
DDX3X_DDX3Y	X_gene	expr_from_Xa	70.8343999090191
DDX3X_DDX3Y	X_gene	expr_from_Xi	49.4746682357286
DDX3X_DDX3Y	X_gene	expr_from_Xa	60.9537095794021
DDX3X_DDX3Y	X_gene	expr_from_Xi	30.6971426752029
DDX3X_DDX3Y	X_gene	expr_from_Xa	47.638918612845
DDX3X_DDX3Y	X_gene	expr_from_Xi	44.3179914174243
DDX3X_DDX3Y	X_gene	expr_from_Xa	54.5311534503895
DDX3X_DDX3Y	X_gene	expr_from_Xi	39.4578362652409
DDX3X_DDX3Y	X_gene	expr_from_Xa	71.0241052206143
DDX3X_DDX3Y	X_gene	expr_from_Xi	35.9684025423909
DDX3X_DDX3Y	X_gene	expr_from_Xa	72.7396809516343
EIF1AX_EIF1AY	X_gene	expr_from_Xi	39.5941524968433
EIF1AX_EIF1AY	X_gene	expr_from_Xa	63.8193350294021
EIF1AX_EIF1AY	X_gene	expr_from_Xi	20.367890579879
EIF1AX_EIF1AY	X_gene	expr_from_Xa	76.1691245765666
EIF1AX_EIF1AY	X_gene	expr_from_Xi	28.8283855171628
EIF1AX_EIF1AY	X_gene	expr_from_Xa	56.8978557138558
EIF1AX_EIF1AY	X_gene	expr_from_Xi	33.9527954745673
EIF1AX_EIF1AY	X_gene	expr_from_Xa	61.4531133550822
EIF1AX_EIF1AY	X_gene	expr_from_Xi	19.5532030279235
EIF1AX_EIF1AY	X_gene	expr_from_Xa	92.0794103648763
EIF1AX_EIF1AY	X_gene	expr_from_Xi	13.5178290698938
EIF1AX_EIF1AY	X_gene	expr_from_Xa	72.5857069734759
EIF1AX_EIF1AY	X_gene	expr_from_Xi	22.7860624337111
EIF1AX_EIF1AY	X_gene	expr_from_Xa	57.5250080140859
KDM5C_KDM5D	X_gene	expr_from_Xi	10.927159197657
KDM5C_KDM5D	X_gene	expr_from_Xa	16.0043111117251
KDM6A_UTY	X_gene	expr_from_Xi	5.53745793557878
KDM6A_UTY	X_gene	expr_from_Xa	5.78633245142281
KDM6A_UTY	X_gene	expr_from_Xi	4.80009661186743
KDM6A_UTY	X_gene	expr_from_Xa	6.00658408957803
KDM6A_UTY	X_gene	expr_from_Xi	3.85980189709546
KDM6A_UTY	X_gene	expr_from_Xa	7.07095156551228
KDM6A_UTY	X_gene	expr_from_Xi	5.14654271420985
KDM6A_UTY	X_gene	expr_from_Xa	6.99784506941191
KDM6A_UTY	X_gene	expr_from_Xi	5.12584622687127
KDM6A_UTY	X_gene	expr_from_Xa	6.76611701568106
RPS4X_RPS4Y1	X_gene	expr_from_Xi	711.01678424142
RPS4X_RPS4Y1	X_gene	expr_from_Xa	926.717110604585
RPS4X_RPS4Y1	X_gene	expr_from_Xi	564.911738008881
RPS4X_RPS4Y1	X_gene	expr_from_Xa	859.403829648866
RPS4X_RPS4Y1	X_gene	expr_from_Xi	548.468551256286
RPS4X_RPS4Y1	X_gene	expr_from_Xa	790.999613018618
RPS4X_RPS4Y1	X_gene	expr_from_Xi	408.433690450171
RPS4X_RPS4Y1	X_gene	expr_from_Xa	820.777101736282
RPS4X_RPS4Y1	X_gene	expr_from_Xi	864.223079643438
RPS4X_RPS4Y1	X_gene	expr_from_Xa	1114.47175692355
RPS4X_RPS4Y1	X_gene	expr_from_Xi	612.73330709881
RPS4X_RPS4Y1	X_gene	expr_from_Xa	894.799706941658
RPS4X_RPS4Y1	X_gene	expr_from_Xi	472.660054575156
RPS4X_RPS4Y1	X_gene	expr_from_Xa	694.219454983705
RPS4X_RPS4Y1	X_gene	expr_from_Xi	360.826081316189
RPS4X_RPS4Y1	X_gene	expr_from_Xa	1045.93889375651
USP9X_USP9Y	X_gene	expr_from_Xi	0.102203910422914
USP9X_USP9Y	X_gene	expr_from_Xa	22.5870635936133
USP9X_USP9Y	X_gene	expr_from_Xi	0
USP9X_USP9Y	X_gene	expr_from_Xa	33.8541416710113
USP9X_USP9Y	X_gene	expr_from_Xi	2.539488670993
USP9X_USP9Y	X_gene	expr_from_Xa	20.996925150039
USP9X_USP9Y	X_gene	expr_from_Xi	1.42370010033837
USP9X_USP9Y	X_gene	expr_from_Xa	26.869217059877
ZFX_ZFY	X_gene	expr_from_Xi	2.6982036705269
ZFX_ZFY	X_gene	expr_from_Xa	5.25650141380234
ZFX_ZFY	X_gene	expr_from_Xi	4.07189770957483
ZFX_ZFY	X_gene	expr_from_Xa	8.32204923653372
ZFX_ZFY	X_gene	expr_from_Xi	2.81446339203551
ZFX_ZFY	X_gene	expr_from_Xa	5.20961413231992
ZFX_ZFY	X_gene	expr_from_Xi	3.11983513793631
ZFX_ZFY	X_gene	expr_from_Xa	8.43631681029064
ZFX_ZFY	X_gene	expr_from_Xi	3.72429157339728
ZFX_ZFY	X_gene	expr_from_Xa	7.15857682941424
ZFX_ZFY	X_gene	expr_from_Xi	2.74354825137251
ZFX_ZFY	X_gene	expr_from_Xa	4.0073495841277
ZFX_ZFY	X_gene	expr_from_Xi	4.72646174254742
ZFX_ZFY	X_gene	expr_from_Xa	7.52595436302264
ZFX_ZFY	X_gene	expr_from_Xi	3.8077784596897
ZFX_ZFY	X_gene	expr_from_Xa	7.15050287116943
DDX3X_DDX3Y	X_gene	Xgene	48.4386692173699
DDX3X_DDX3Y	X_gene	Xgene	55.5501460931119
DDX3X_DDX3Y	X_gene	Xgene	107.342230324159
DDX3X_DDX3Y	X_gene	Xgene	70.3327674411497
DDX3X_DDX3Y	X_gene	Xgene	125.996934783157
DDX3X_DDX3Y	X_gene	Xgene	102.588300638635
DDX3X_DDX3Y	X_gene	Xgene	79.5732001982403
DDX3X_DDX3Y	X_gene	Xgene	81.6322993777845
DDX3X_DDX3Y	X_gene	Xgene	52.6345735195457
DDX3X_DDX3Y	X_gene	Xgene	53.3466143090706
DDX3X_DDX3Y	X_gene	Xgene	87.0954776393364
DDX3X_DDX3Y	X_gene	Xgene	92.443739822621
DDX3X_DDX3Y	X_gene	Xgene	68.9768281351587
DDX3X_DDX3Y	X_gene	Xgene	56.6643298488456
DDX3X_DDX3Y	X_gene	Xgene	81.9371383513065
