name	dna_count	rna_count	ratio	log2	n_obs_bc
chrX:72275377-72275576	5.314754133937562	1.782270926866607	0.3353440031187612	-1.5762862919943124	31.0
chrY:12700456-12700655	10.013910435799545	5.645585098340956	0.5637742752479684	-0.8268104449657159	52.0
chrX:16785793-16785992	7.046438288688989	4.101293835554215	0.5820378562227178	-0.7808151046255535	36.0
chrY:14525678-14525877	10.199529895233647	4.054656164896257	0.3975336320932833	-1.3308511746119822	39.0
chrY:20576988-20577187	11.67601400451543	3.967408199312525	0.33979131900477516	-1.5572790998953687	78.0
chrX:20140361-20140560	9.333626858674299	4.852104497246731	0.5198519900907951	-0.9438271707821446	44.0
chrX:41334024-41334223	4.803720082597412	11.170666811765427	2.3254200119265387	1.2174913159616065	64.0
chrY:19567158-19567357	9.7753513534923	28.347643239049432	2.8999104189663805	1.5360083346853528	48.0
chrX:20141011-20141210	4.7094626909057835	3.473131939096392	0.7374794466050638	-0.4393252525684301	54.0
chrX:16786743-16786942	5.844647775267647	1.8686554673295017	0.31972080083883747	-1.6451154868626927	27.0
chrX:41332074-41332273	9.325057833674858	3.7486618324990366	0.40199877570322246	-1.3147369872383305	66.0
chrY:14523528-14523727	3.9229864478534076	2.773049128148752	0.706871962217998	-0.5004791757529986	54.0
chrX:53222710-53222909	10.051282702377286	4.322501959645371	0.43004480996470545	-1.2174411007803376	35.0
chrX:41088151-41088350	8.638153104685765	4.199666540427177	0.4861764418309591	-1.0404481070679805	43.0
chrY:19743483-19743682_shuff	11.782883730969212	5.882459064652387	0.4992376398649671	-1.0022013850473708	47.0
chrX:41087251-41087450	11.459136253154627	3.5274898783902797	0.3078320913951245	-1.6997844548936345	45.0
chrX:3711556-3711755	6.480195678799404	7.318404709781809	1.1293493395152692	0.175491821300485	51.0
chrX:41084251-41084450	5.650916322964768	5.5288121026499555	0.978392137958477	-0.03151528400436936	73.0
chrX:41086151-41086350	12.598528624725486	6.04183816400112	0.4795669672205684	-1.0601958061692662	82.0
chrX:16787393-16787592	10.063982234358022	4.5775219288743925	0.4548420120662495	-1.136562578123425	61.0
chr6:73521947-73522146_shuff	4.323051822713706	3.058330320746542	0.7074470642886578	-0.4993058945688737	22.0
chrY:12701706-12701905	12.362507327331405	4.260754755886011	0.3446513432162912	-1.5367904569173614	43.0
chrY:19745383-19745582	17.235537331233967	5.939685428125394	0.34461852357579764	-1.536927844999739	72.0
chrX:20141461-20141660	5.601230629913694	3.515961471571344	0.6277123196452847	-0.6718245709803197	83.0
chrX:44873715-44873914	3.580077437444052	0.4566788922650652	0.12756117716579476	-2.9707387785798294	1.0
chrX:72276477-72276676	7.998973393501987	1.3138908735903132	0.16425743766789624	-2.6059693968289546	32.0
